name,date,Green,Red,NIR,SWIR
1,2014/6/27,0.194834636,0.203418297,0.371887024,0.23388339
1,2014/6/28,0.183405139,0.192555208,0.37591725,0.232431651
1,2014/6/29,0.231978984,0.229047137,0.407726696,0.250688977
1,2014/6/30,0.218767429,0.220704102,0.401078206,0.250386606
1,2014/7/1,0.203788161,0.205342068,0.399861601,0.246195155
1,2014/7/2,0.190003247,0.185755057,0.399467699,0.239223673
1,2014/7/3,0.179934279,0.174476199,0.405996288,0.235593739
1,2014/7/4,0.167684972,0.163626477,0.405376748,0.231951119
1,2014/7/5,0.227439301,0.218094959,0.437294083,0.230301958
1,2014/7/6,0.211116911,0.20252998,0.434683736,0.226792631
1,2014/7/7,0.201586298,0.195332529,0.429153218,0.227497929
1,2014/7/8,0.188537085,0.180166923,0.430354864,0.225606327
1,2014/7/9,0.214704252,0.21816745,0.44340005,0.229643032
1,2014/7/10,0.202006129,0.201966995,0.445203683,0.228027109
1,2014/7/11,0.189913356,0.185735819,0.442662481,0.224557411
1,2014/7/12,0.18074497,0.172885973,0.4471198,0.223814334
1,2014/7/13,0.168524975,0.159237004,0.442365255,0.216463785
1,2014/7/14,0.205392247,0.201528786,0.463310202,0.236487631
1,2014/7/15,0.191832723,0.186662631,0.460308014,0.231090578
1,2014/7/16,0.187870623,0.184207483,0.455201444,0.222999544
1,2014/7/17,0.174902576,0.170959025,0.45646768,0.220395422
1,2014/7/18,0.180759174,0.176802449,0.455186463,0.223983393
1,2014/7/19,0.170508303,0.163664063,0.457918038,0.222811161
1,2014/7/20,0.160507799,0.151640595,0.458476587,0.220122642
1,2014/7/21,0.152956157,0.143365731,0.460895963,0.219141155
1,2014/7/22,0.184833488,0.176781941,0.474357721,0.213827453
1,2014/7/23,0.177948675,0.170934713,0.468422531,0.212850641
1,2014/7/24,0.185424722,0.180434345,0.464777518,0.212105314
1,2014/7/25,0.178870025,0.16982877,0.464795992,0.211524114
1,2014/7/26,0.16978353,0.158619833,0.464456546,0.209170442
1,2014/7/27,0.204228109,0.193437502,0.483768755,0.210426666
1,2014/7/28,0.197636007,0.184629372,0.485636268,0.209017302
1,2014/7/29,0.216742716,0.205659437,0.495694982,0.204256537
1,2014/7/30,0.223056293,0.213540823,0.496231432,0.206171874
1,2014/7/31,0.244050907,0.240639528,0.504581848,0.201764176
1,2014/8/1,0.234296747,0.228474374,0.498082293,0.203253762
1,2014/8/2,0.228013686,0.221845036,0.490536339,0.20010189
1,2014/8/3,0.21531007,0.203114794,0.486623203,0.197568754
1,2014/8/4,0.205182694,0.189507172,0.48450069,0.196225582
1,2014/8/5,0.193806877,0.175698826,0.479192456,0.193474983
1,2014/8/6,0.201184974,0.18417638,0.485382332,0.205011296
1,2014/8/7,0.19045558,0.172583849,0.481622821,0.202995831
1,2014/8/8,0.182551824,0.164064447,0.471609418,0.202399416
1,2014/8/9,0.177300078,0.158472258,0.468155569,0.202280019
1,2014/8/10,0.167675911,0.147127375,0.465143671,0.202108058
1,2014/8/11,0.159839469,0.139039211,0.463117741,0.202261252
1,2014/8/12,0.150188438,0.129535421,0.457060283,0.200171737
1,2014/8/13,0.150252772,0.131260254,0.452250942,0.199197536
1,2014/8/14,0.1666293,0.152751662,0.458103,0.198414633
1,2014/8/15,0.162301411,0.149544624,0.446418933,0.193409196
1,2014/8/16,0.154227899,0.140679255,0.437474844,0.191620382
1,2014/8/17,0.193745632,0.177742381,0.454167462,0.190875786
1,2014/8/18,0.249921735,0.228867221,0.486091879,0.188883416
1,2014/8/19,0.233906945,0.214533931,0.476805067,0.188548458
1,2014/8/20,0.272345561,0.260131831,0.503484984,0.189741804
1,2014/8/21,0.260763137,0.242169941,0.485970972,0.188347407
1,2014/8/22,0.249438739,0.22756912,0.478254177,0.190371553
1,2014/8/23,0.238391811,0.209768646,0.462412347,0.189652962
1,2014/8/24,0.228755263,0.201837356,0.445154562,0.190501964
1,2014/8/25,0.215143119,0.187943009,0.435320899,0.191137587
1,2014/8/26,0.201877709,0.17794932,0.430191622,0.190970479
1,2014/8/27,0.239222383,0.215205589,0.447981622,0.197718916
1,2014/8/28,0.222423054,0.201239257,0.439714606,0.197659611
1,2014/8/29,0.209334844,0.18949783,0.436388147,0.199136367
1,2014/8/30,0.229121847,0.212781967,0.443278171,0.198750762
1,2014/8/31,0.217176699,0.202858499,0.440642433,0.200709783
1,2014/9/1,0.207381916,0.192830259,0.430445657,0.199785463
1,2014/9/2,0.201580685,0.187243685,0.420671338,0.202348432
1,2014/9/3,0.249295093,0.244120674,0.454974709,0.218433379
1,2014/9/4,0.233818976,0.227696008,0.450119597,0.218777217
1,2014/9/5,0.220534549,0.215750701,0.446218934,0.217853582
1,2014/9/6,0.208435289,0.205428461,0.434063494,0.216203343
1,2014/9/7,0.247290616,0.251432066,0.454761933,0.215221316
1,2014/9/8,0.23353994,0.239620317,0.442590619,0.213274449
1,2014/9/9,0.220907834,0.230303617,0.427161989,0.212322484
1,2014/9/10,0.211092237,0.221762297,0.421122339,0.215706529
1,2014/9/11,0.229415357,0.242414141,0.428804296,0.234347666
1,2014/9/12,0.239333788,0.257336303,0.434602753,0.246491747
1,2014/9/13,0.22987228,0.247984244,0.423079947,0.247060692
1,2014/9/14,0.226569873,0.24673058,0.425162581,0.252236952
1,2014/9/15,0.217350023,0.238366751,0.415773085,0.250970506
1,2014/9/16,0.218716509,0.239822787,0.413295677,0.251790815
1,2014/9/17,0.209026733,0.233976982,0.4067922,0.253504634
1,2014/9/18,0.201218622,0.224017754,0.397417867,0.253657744
1,2014/9/19,0.196161318,0.217802805,0.390929025,0.253183512
