name,date,Green,Red,NIR,SWIR,
13,2015/6/9,0.054994505,0.051164518,0.319026372,0.175385001,
13,2015/6/10,0.167358355,0.168196739,0.359484079,0.212234182,
13,2015/6/11,0.135294508,0.133285432,0.346294978,0.188081602,
13,2015/6/12,0.229296049,0.226231119,0.366774257,0.178684533,
13,2015/6/13,0.298814513,0.293106674,0.405005956,0.193334459,
13,2015/6/14,0.05695989,0.056548567,0.30828588,0.168073236,
13,2015/6/15,0.319647591,0.318610063,0.473678322,0.211785445,
13,2015/6/16,0.585536061,0.591553006,0.626772066,0.328351337,
13,2015/6/17,0.813239915,0.817796408,0.773299084,0.206875741,
13,2015/6/18,0.077062967,0.070207049,0.348075785,0.196343632,
13,2015/6/19,0.166179124,0.162359296,0.408178018,0.199220825,
13,2015/6/20,0.095593737,0.098147429,0.369612418,0.206875741,
13,2015/6/21,0.070212198,0.072417342,0.307840679,0.184016578,
13,2015/6/22,0.199366048,0.195627051,0.411461381,0.208670687,
13,2015/6/23,0.071672198,0.077177975,0.2874727,0.180268309,
13,2015/6/24,0.1223275,0.1378375,0.35,0.2283125,
13,2015/6/25,0.081106044,0.084885666,0.338893499,0.190510058,
13,2015/6/26,0.285169128,0.286645815,0.411795282,0.203655397,
13,2015/6/27,0.747034528,0.742929791,0.729613664,0.172111864,
13,2015/6/28,0.568970676,0.576817714,0.604567629,0.319059853,
13,2015/6/29,0.750909143,0.756588273,0.755379714,0.338434709,
13,2015/6/30,0.056510659,0.064199584,0.289086556,0.183066313,
13,2015/7/1,0.103792199,0.123197425,0.383747573,0.214741827,
13,2015/7/2,0.445039133,0.444313437,0.507624953,0.186339449,
13,2015/7/3,0.122245,0.137315,0.3428225,0.2522925,
13,2015/7/4,0.076389121,0.092423335,0.312125745,0.201649281,
13,2015/7/5,0.511637597,0.510962295,0.54786006,0.168733143,
13,2015/7/6,0.228397588,0.244536885,0.404839005,0.282157879,
13,2015/7/7,0.082959121,0.105798446,0.275452253,0.207878799,
13,2015/7/8,0.129398354,0.166213142,0.345627175,0.249928044,
13,2015/7/9,0.249399127,0.269416858,0.418640258,0.274925303,
13,2015/7/10,0.302801436,0.308748753,0.391037751,0.193756799,
13,2015/7/11,0.238224511,0.270777039,0.414800394,0.275294851,
13,2015/7/12,0.083464506,0.108802178,0.267104721,0.203180264,
13,2015/7/13,0.10177066,0.129488261,0.316800363,0.237284234,
13,2015/7/14,0.09958066,0.126484528,0.319026372,0.236228384,
13,2015/7/15,0.129510661,0.163322758,0.372061028,0.256975846,
13,2015/7/16,0.095762199,0.121213828,0.313739602,0.232295341,
13,2015/7/17,0.130409123,0.158958844,0.386585734,0.258348451,
13,2015/7/18,0.636916832,0.645393495,0.644858386,0.282976163,
13,2015/7/19,0.14645875,0.17607625,0.37410375,0.3431525,
13,2015/7/20,0.105252199,0.132378645,0.336890091,0.239105576,
13,2015/7/21,0.088967583,0.117076611,0.250298356,0.204500077,
13,2015/7/22,0.115977584,0.144336901,0.336389239,0.241666014,
13,2015/7/23,0.110642968,0.138329436,0.314963906,0.231397868,
13,2015/7/24,0.845977608,0.84210964,0.794223565,0.189190245,
13,2015/7/25,0.307911436,0.334648861,0.449637429,0.286170111,
13,2015/7/26,0.14672,0.19589,0.35858,0.3315475,
13,2015/7/27,0.102388353,0.128411451,0.296376734,0.232744077,
13,2015/7/28,0.214752203,0.225097635,0.341898611,0.209832122,
13,2015/7/29,0.451833749,0.456895109,0.514859482,0.246839681,
13,2015/7/30,0.332113745,0.343206666,0.451418236,0.296253483,
13,2015/7/31,0.082846814,0.099847655,0.244510733,0.19734669,
13,2015/8/1,0.293704513,0.303648075,0.42414963,0.281946709,
13,2015/8/2,0.362212207,0.369163449,0.435057072,0.199168032,
13,2015/8/3,0.102669122,0.126257832,0.295597631,0.219493154,
13,2015/8/4,0.089079891,0.111012472,0.245790688,0.185811524,
13,2015/8/5,0.122435276,0.149154208,0.349244439,0.227834373,
13,2015/8/6,0.114573738,0.146717217,0.294095075,0.231714623,
13,2015/8/7,0.115472199,0.139802965,0.304835567,0.228467883,
13,2015/8/8,0.6116476,0.62023015,0.639515965,0.279359875,
13,2015/8/9,1.048636845,1.057754967,1.03274039,0.405058874,
13,2015/8/10,0.107722968,0.133398781,0.283354584,0.202705131,
13,2015/8/11,0.927793765,0.92417388,0.872356468,0.210228066,
13,2015/8/12,0.066730659,0.087265983,0.221026342,0.183963786,
13,2015/8/13,0.118279892,0.144620272,0.306505074,0.229840488,
13,2015/8/14,0.130858354,0.154594931,0.310511889,0.223452593,
13,2015/8/15,0.836936838,0.839899346,0.810139527,0.182485595,
13,2015/8/16,0.082229121,0.0966739,0.271779339,0.193572025,
13,2015/8/17,0.098176814,0.122970728,0.266103017,0.207192496,
13,2015/8/18,0.160563739,0.196307142,0.365995154,0.264314006,
13,2015/8/19,0.114292969,0.138159413,0.295764582,0.220311438,
